seed,selected,alpha,low_cal,best_cal,best_gain,dataset
0,CProto,,0.7575295544167899,0.7575295544167899,0.0,UCI HAR
1,CProto,,0.7362852348068923,0.7362852348068923,0.0,UCI HAR
2,CProto,,0.7373488470483703,0.7373488470483703,0.0,UCI HAR
3,CProto,,0.789782250827039,0.789782250827039,0.0,UCI HAR
4,alpha=1,1,0.7561389298768592,0.7661760675826784,0.010037137705819266,UCI HAR
0,CProto,,0.8155371875265054,0.8155371875265054,0.0,MFeat
1,CProto,,0.8613331019031818,0.8613331019031818,0.0,MFeat
2,CProto,,0.8820952621939465,0.8820952621939465,0.0,MFeat
3,CProto,,0.8844105597467667,0.8844105597467667,0.0,MFeat
4,CProto,,0.8917273102141523,0.8917273102141523,0.0,MFeat
5,CProto,,0.8686187133656402,0.8686187133656402,0.0,MFeat
6,alpha=1,1,0.8448803590057461,0.8511508477762346,0.006270488770488525,MFeat
7,CProto,,0.8489679983758931,0.8489679983758931,0.0,MFeat
8,CProto,,0.8110325851684548,0.8110325851684548,0.0,MFeat
9,CProto,,0.8756985601444816,0.8756985601444816,0.0,MFeat
0,CProto,,0.7906562828376378,0.7906562828376378,0.0,PAMAP2
1,CProto,,0.8205242376055996,0.8205242376055996,0.0,PAMAP2
2,CProto,,0.8250271675367445,0.8250271675367445,0.0,PAMAP2
3,CProto,,0.798064091401808,0.798064091401808,0.0,PAMAP2
4,CProto,,0.8204044120135545,0.8204044120135545,0.0,PAMAP2
0,alpha=1,1,0.8776734539810784,0.912184415900756,0.03451096191967762,MHEALTH
1,CProto,,0.9237015677156467,0.9237015677156467,0.0,MHEALTH
2,alpha=1,1,0.9371951119995297,0.9473979390182865,0.010202827018756855,MHEALTH
3,alpha=0.25,0.25,0.8945354740832766,0.9071851927521057,0.012649718668829135,MHEALTH
4,CProto,,0.9211583630889344,0.9211583630889344,0.0,MHEALTH
5,CProto,,0.9150780450482591,0.9150780450482591,0.0,MHEALTH
6,alpha=1,1,0.9064891473242689,0.9390296612067743,0.03254051388250545,MHEALTH
7,alpha=0.25,0.25,0.9266036808019619,0.9304978497107486,0.003894168908786688,MHEALTH
8,alpha=1,1,0.9192763143652485,0.9355229096993849,0.016246595334136416,MHEALTH
9,CProto,,0.9340828666368415,0.9340828666368415,0.0,MHEALTH


