group,policy,k,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
CIFAR-10,variance,96,qproto_chop,3,0.4507,0.009917406352063167,0.45100633161855264,11564.0
CIFAR-10,variance,96,qproto_cproto,3,0.45108888888888893,0.010056911241098202,0.4513854589926626,7724.0
CIFAR-10,coverage,96,qproto_chop,3,0.4523388888888889,0.012015794046996882,0.4526642505589213,11564.0
CIFAR-10,coverage,96,qproto_cproto,3,0.4514833333333333,0.012084701677492288,0.45180791184364916,7724.0
CIFAR-10,random,96,qproto_chop,3,0.39095,0.03368325013645925,0.39155808573040773,11564.0
CIFAR-10,random,96,qproto_cproto,3,0.3904055555555555,0.03368608336689112,0.3910105693029546,7724.0
MNIST-10,variance,96,qproto_chop,3,0.7505416666666667,0.04252694022399789,0.7465014531461234,11564.0
MNIST-10,variance,96,qproto_cproto,3,0.7482916666666666,0.04486072409168238,0.7442977469667987,7724.0
MNIST-10,coverage,96,qproto_chop,3,0.7493916666666667,0.0393891672767223,0.7453506448206983,11564.0
MNIST-10,coverage,96,qproto_cproto,3,0.748125,0.042473647132202176,0.7440790935317649,7724.0
MNIST-10,random,96,qproto_chop,3,0.661925,0.04917487684641625,0.6564044530685268,11564.0
MNIST-10,random,96,qproto_cproto,3,0.660425,0.04627480057558525,0.654858209172571,7724.0
PennyLane high-order,variance,8,qproto_chop,5,0.624425,0.04655462492427583,0.624425,1812.0
PennyLane high-order,variance,8,qproto_cproto,5,0.391875,0.01887341899868703,0.391875,276.0
PennyLane high-order,coverage,8,qproto_chop,5,0.6587500000000001,0.05902377180340137,0.6587500000000001,1812.0
PennyLane high-order,coverage,8,qproto_cproto,5,0.394325,0.0321121456857059,0.394325,276.0
PennyLane high-order,random,8,qproto_chop,5,0.430575,0.03552144613525749,0.43057500000000004,1812.0
PennyLane high-order,random,8,qproto_cproto,5,0.29145,0.042355127596785704,0.29145,276.0
Qiskit Aer MNIST-4,variance,10,qproto_chop,3,0.5944444444444444,0.06497175870617966,0.5840715051270654,596.0
Qiskit Aer MNIST-4,variance,10,qproto_cproto,3,0.5888888888888889,0.05981989129588771,0.5787786113373209,340.0
Qiskit Aer MNIST-4,coverage,10,qproto_chop,3,0.5902777777777778,0.08225680306302625,0.5790292189818381,596.0
Qiskit Aer MNIST-4,coverage,10,qproto_cproto,3,0.5847222222222223,0.07652053602983332,0.5736012519320203,340.0
Qiskit Aer MNIST-4,random,10,qproto_chop,3,0.5822916666666668,0.10419118876117048,0.5719029864344501,596.0
Qiskit Aer MNIST-4,random,10,qproto_cproto,3,0.5767361111111111,0.08792352758069275,0.5669232228464017,340.0


