group,k,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
CIFAR-10,32,qproto_chop,3,0.40508333333333335,0.006085783538730025,0.4050769088018771,6444.0
CIFAR-10,32,qproto_cproto,3,0.4039333333333333,0.00740397161173069,0.40390033718877033,2604.0
CIFAR-10,64,qproto_chop,3,0.4407,0.005307194854899397,0.44095921013287814,9004.0
CIFAR-10,64,qproto_cproto,3,0.4402111111111111,0.005109082000253003,0.4404816856123073,5164.0
CIFAR-10,96,qproto_chop,3,0.4507,0.009917406352063167,0.45100633161855264,11564.0
CIFAR-10,96,qproto_cproto,3,0.45108888888888893,0.010056911241098202,0.4513854589926626,7724.0
CIFAR-10,128,qproto_chop,3,0.45260555555555554,0.010843561054036869,0.4529532236824845,14124.0
CIFAR-10,128,qproto_cproto,3,0.4519222222222222,0.01019826242059348,0.45228534989147723,10284.0
Fashion-10,32,qproto_chop,3,0.6315166666666667,0.0672911315197848,0.6317147313105901,6444.0
Fashion-10,32,qproto_cproto,3,0.6304583333333333,0.06537021374395273,0.6306304649577593,2604.0
Fashion-10,64,qproto_chop,3,0.6625833333333333,0.057504827553464005,0.6623599528724856,9004.0
Fashion-10,64,qproto_cproto,3,0.6609416666666665,0.058751195475149655,0.6607761638565112,5164.0
Fashion-10,96,qproto_chop,3,0.6696583333333335,0.06049696176075774,0.6694130859934304,11564.0
Fashion-10,96,qproto_cproto,3,0.6684333333333333,0.06302904636606071,0.6682499804989334,7724.0
Fashion-10,128,qproto_chop,3,0.6704,0.05814814355275586,0.6702077399483293,14124.0
Fashion-10,128,qproto_cproto,3,0.6689833333333334,0.05989478504116341,0.6688101729707813,10284.0
MNIST-10,32,qproto_chop,3,0.6628166666666666,0.05319444460245262,0.6566654730402725,6444.0
MNIST-10,32,qproto_cproto,3,0.6595833333333333,0.054483041217035115,0.6534060521998901,2604.0
MNIST-10,64,qproto_chop,3,0.7298666666666667,0.04437471285436983,0.7254682154016862,9004.0
MNIST-10,64,qproto_cproto,3,0.7270166666666666,0.039741954384269106,0.7226722737449571,5164.0
MNIST-10,96,qproto_chop,3,0.7505416666666667,0.04252694022399789,0.7465014531461234,11564.0
MNIST-10,96,qproto_cproto,3,0.7482916666666666,0.04486072409168238,0.7442977469667987,7724.0
MNIST-10,128,qproto_chop,3,0.7528916666666666,0.04149803906965143,0.7489674697064614,14124.0
MNIST-10,128,qproto_cproto,3,0.7509166666666667,0.04075499536358077,0.7469554698345781,10284.0
PennyLane high-order,8,qproto_chop,3,0.6385416666666667,0.021337968192643907,0.6385416666666667,1812.0
PennyLane high-order,8,qproto_cproto,3,0.38895833333333335,0.04933356086321409,0.38895833333333335,276.0
PennyLane high-order,16,qproto_chop,3,0.6135416666666667,0.030844420393029794,0.6135416666666667,2068.0
PennyLane high-order,16,qproto_cproto,3,0.39387500000000003,0.047871882245957675,0.393875,532.0
PennyLane high-order,24,qproto_chop,3,0.6020416666666667,0.06046755993068069,0.6020416666666667,2324.0
PennyLane high-order,24,qproto_cproto,3,0.4031666666666667,0.06087288740996884,0.4031666666666667,788.0
PennyLane high-order,32,qproto_chop,3,0.6102083333333334,0.04717517754279736,0.6102083333333334,2580.0
PennyLane high-order,32,qproto_cproto,3,0.411875,0.035845780719574616,0.411875,1044.0
PennyLane high-order,48,qproto_chop,3,0.5784583333333333,0.02750593624767413,0.5784583333333333,3092.0
PennyLane high-order,48,qproto_cproto,3,0.41858333333333336,0.034268636818869935,0.41858333333333336,1556.0
Qiskit Aer MNIST-4,4,qproto_chop,3,0.55625,0.04017427119854096,0.5496252472294851,404.0
Qiskit Aer MNIST-4,4,qproto_cproto,3,0.5541666666666667,0.03983947976844673,0.5465044162635931,148.0
Qiskit Aer MNIST-4,6,qproto_chop,3,0.5638888888888889,0.07782224502122585,0.5556185065056333,468.0
Qiskit Aer MNIST-4,6,qproto_cproto,3,0.5593750000000001,0.06958387887292387,0.5507975323388,212.0
Qiskit Aer MNIST-4,8,qproto_chop,3,0.5791666666666667,0.042601425471275225,0.5683563531497299,532.0
Qiskit Aer MNIST-4,8,qproto_cproto,3,0.5760416666666667,0.04549029208811656,0.5655396825048843,276.0
Qiskit Aer MNIST-4,10,qproto_chop,3,0.5944444444444444,0.06497175870617966,0.5840715051270654,596.0
Qiskit Aer MNIST-4,10,qproto_cproto,3,0.5888888888888889,0.05981989129588771,0.5787786113373209,340.0
Qiskit Aer MNIST-4,12,qproto_chop,3,0.5965277777777777,0.06497175870617966,0.584986768063176,660.0
Qiskit Aer MNIST-4,12,qproto_cproto,3,0.5930555555555556,0.0601548108784488,0.581598243187248,404.0


