dataset,method,n,acc_mean,acc_ci95,balanced_acc_mean,bytes_mean
CIFAR-10,qproto_masked_hop,5,0.45393000000000006,0.003922731277192801,0.4544682856416487,24364.0
CIFAR-10,qproto_masked,5,0.45358666666666664,0.0033875731712245723,0.454096915256018,20524.0
CIFAR-10,qproto_chop,5,0.4505,0.0038834521359795565,0.45097101334324585,11564.0
CIFAR-10,qproto_cproto,5,0.45022666666666666,0.004516029585849332,0.45069320767388255,7724.0
CIFAR-10,shared_observable,5,0.42507,0.017295761011947422,0.4256110688676149,7724.0
CIFAR-10,fedproto_schema,5,0.2684,0.019057840367657407,0.26804217564709876,7724.0
CIFAR-10,fedadam_schema,5,0.28146333333333334,0.01675578744930839,0.2815116537418787,7720.0
CIFAR-10,scaffold_schema,5,0.20389666666666667,0.03836005968144121,0.20364666617268057,15440.0
CIFAR-10,feddyn_schema,5,0.2570266666666667,0.012557105753398953,0.2580906948008269,7720.0
CIFAR-10,fedavg_schema,5,0.25312999999999997,0.011183902291307411,0.25440670613523964,7720.0
CIFAR-10,fedprox_schema,5,0.25144333333333335,0.009828107299228865,0.25280825506344223,7720.0
CIFAR-10,fedproto_forced,5,0.16604333333333332,0.007414189664977997,0.1661066375139547,7724.0
CIFAR-10,fedadam_forced,5,0.16596333333333332,0.011725642028049288,0.16618999673964996,7720.0
CIFAR-10,fedavg_forced,5,0.13190666666666667,0.022279562369266682,0.13455669528175587,7720.0
CIFAR-10,fedprox_forced,5,0.13044666666666668,0.022730132930993213,0.1332009869540869,7720.0
CIFAR-10,no_schema,5,0.16605333333333333,0.006430540736288563,0.16587373072730122,7724.0
CIFAR-10,wrong_schema,5,0.11519333333333333,0.00732086634853795,0.11507183408218052,11564.0
Fashion-10,qproto_masked_hop,5,0.66228,0.025535629799368575,0.6616472128539665,24364.0
Fashion-10,qproto_masked,5,0.66147,0.025702956866601977,0.6608415750330361,20524.0
Fashion-10,qproto_chop,5,0.660455,0.026518832468990877,0.6598248723792267,11564.0
Fashion-10,qproto_cproto,5,0.65959,0.02692344891914098,0.6590023647130215,7724.0
Fashion-10,shared_observable,5,0.655925,0.019230087563815258,0.6552704849463645,7724.0
Fashion-10,fedproto_schema,5,0.5221,0.036581825552096194,0.5216573843812722,7724.0
Fashion-10,fedadam_schema,5,0.5441549999999999,0.03334127538188064,0.5434016575557957,7720.0
Fashion-10,scaffold_schema,5,0.377465,0.06917051243445863,0.37988648081638954,15440.0
Fashion-10,feddyn_schema,5,0.47649500000000006,0.0528845231320318,0.4765919790492336,7720.0
Fashion-10,fedavg_schema,5,0.462535,0.05649622761389996,0.46261652471839076,7720.0
Fashion-10,fedprox_schema,5,0.46043,0.05656717072842162,0.4604551637781262,7720.0
Fashion-10,fedproto_forced,5,0.240555,0.023828986972391396,0.24117940499022575,7724.0
Fashion-10,fedadam_forced,5,0.25351,0.01863981938382452,0.25400940563906255,7720.0
Fashion-10,fedavg_forced,5,0.1949,0.018396210808968232,0.1947900297384281,7720.0
Fashion-10,fedprox_forced,5,0.194045,0.018403636933888887,0.19386120039359073,7720.0
Fashion-10,no_schema,5,0.239505,0.025080629988865902,0.24016613070880335,7724.0
Fashion-10,wrong_schema,5,0.14996,0.018341746468905303,0.1506627583327393,11564.0
MNIST-10,qproto_masked_hop,5,0.7443050000000001,0.026865988668991887,0.7404713182105506,24364.0
MNIST-10,qproto_masked,5,0.7433850000000001,0.02728215070374036,0.7395562170819849,20524.0
MNIST-10,qproto_chop,5,0.7392200000000001,0.029814092993119858,0.7352732482005667,11564.0
MNIST-10,qproto_cproto,5,0.73752,0.029677142490920426,0.7336207546217771,7724.0
MNIST-10,shared_observable,5,0.69467,0.017854792525997015,0.6906038653378694,7724.0
MNIST-10,fedproto_schema,5,0.412135,0.02904833645208616,0.4088471018502396,7724.0
MNIST-10,fedadam_schema,5,0.455875,0.03349360767131542,0.45014000342534755,7720.0
MNIST-10,scaffold_schema,5,0.276615,0.04430231285011653,0.26960544991228697,15440.0
MNIST-10,feddyn_schema,5,0.318385,0.03366805369369611,0.3050250052183028,7720.0
MNIST-10,fedavg_schema,5,0.313445,0.034249602430486706,0.30007166704433674,7720.0
MNIST-10,fedprox_schema,5,0.309195,0.03613671661391501,0.29571473696310235,7720.0
MNIST-10,fedproto_forced,5,0.219325,0.005298997905264714,0.2160673212800873,7724.0
MNIST-10,fedadam_forced,5,0.22893500000000003,0.010513941959208264,0.22240552563763447,7720.0
MNIST-10,fedavg_forced,5,0.15298,0.020503670646457427,0.138615464657169,7720.0
MNIST-10,fedprox_forced,5,0.15174,0.020319895726445037,0.13720393426435967,7720.0
MNIST-10,no_schema,5,0.218995,0.0097940441111116,0.21619084282746728,7724.0
MNIST-10,wrong_schema,5,0.12496,0.006874440462001266,0.12510631666018163,11564.0


