split,seed,pair_policy,hop_weight,cproto_acc,chop_acc,delta
random,0,anchor_covariance,0.02,0.5977719214183038,0.5924053665548635,-0.005366554863440287
random,0,anchor_covariance,0.05,0.5977719214183038,0.5924652611403929,-0.005306660277910935
random,0,anchor_covariance,0.1,0.5977719214183038,0.592345471969334,-0.005426449448969861
random,0,anchor_covariance,0.2,0.5977719214183038,0.5916027791087685,-0.006169142309535358
random,0,anchor_covariance,0.5,0.5977719214183038,0.5916147580258744,-0.006157163392429443
random,0,cross_group_covariance,0.02,0.5977719214183038,0.5927048394825108,-0.005067081935792972
random,0,cross_group_covariance,0.05,0.5977719214183038,0.5928965021562052,-0.004875419262098668
random,0,cross_group_covariance,0.1,0.5977719214183038,0.59302827024437,-0.004743651173933827
random,0,cross_group_covariance,0.2,0.5977719214183038,0.5937110685194058,-0.004060852898898015
random,0,cross_group_covariance,0.5,0.5977719214183038,0.5955558217537135,-0.002216099664590354
random,1,anchor_covariance,0.02,0.6015692381408722,0.5974844274077624,-0.004084810733109734
random,1,anchor_covariance,0.05,0.6015692381408722,0.5975443219932919,-0.004024916147580271
random,1,anchor_covariance,0.1,0.6015692381408722,0.5977359846669862,-0.003833253473885967
random,1,anchor_covariance,0.2,0.6015692381408722,0.5978198370867275,-0.0037494010541446743
random,1,anchor_covariance,0.5,0.6015692381408722,0.5963943459511262,-0.005174892189745983
random,1,cross_group_covariance,0.02,0.6015692381408722,0.5974964063248682,-0.00407283181600393
random,1,cross_group_covariance,0.05,0.6015692381408722,0.5974844274077624,-0.004084810733109734
random,1,cross_group_covariance,0.1,0.6015692381408722,0.5975083852419741,-0.004060852898898015
random,1,cross_group_covariance,0.2,0.6015692381408722,0.5972448490656446,-0.004324389075227586
random,1,cross_group_covariance,0.5,0.6015692381408722,0.5956995687589843,-0.005869669381887821
random,2,anchor_covariance,0.02,0.6119070436032583,0.6155007187350263,0.003593675131768004
random,2,anchor_covariance,0.05,0.6119070436032583,0.6155606133205558,0.003653569717297467
random,2,anchor_covariance,0.1,0.6119070436032583,0.6158361284139915,0.003929084810733174
random,2,anchor_covariance,0.2,0.6119070436032583,0.6160637278390034,0.004156684235745112
random,2,anchor_covariance,0.5,0.6119070436032583,0.6155725922376618,0.0036655486344034927
random,2,cross_group_covariance,0.02,0.6119070436032583,0.591998083373263,-0.01990896022999533
random,2,cross_group_covariance,0.05,0.6119070436032583,0.59189027311931,-0.020016770483948343
random,2,cross_group_covariance,0.1,0.6119070436032583,0.5919621466219454,-0.019944896981312965
random,2,cross_group_covariance,0.2,0.6119070436032583,0.5916746526114038,-0.020232390991854476
random,2,cross_group_covariance,0.5,0.6119070436032583,0.5912553905126977,-0.020651653090560607
random,3,anchor_covariance,0.02,0.6055222807858169,0.5986104456157164,-0.006911835170100522
random,3,anchor_covariance,0.05,0.6055222807858169,0.5984906564446575,-0.007031624341159448
random,3,anchor_covariance,0.1,0.6055222807858169,0.5985625299472928,-0.006959750838524181
random,3,anchor_covariance,0.2,0.6055222807858169,0.5984786775275515,-0.007043603258265474
random,3,anchor_covariance,0.5,0.6055222807858169,0.5988500239578343,-0.00667225682798267
random,3,cross_group_covariance,0.02,0.6055222807858169,0.5770124580737901,-0.028509822712026844
random,3,cross_group_covariance,0.05,0.6055222807858169,0.5768327743172017,-0.028689506468615233
random,3,cross_group_covariance,0.1,0.6055222807858169,0.5768567321514135,-0.028665548634403404
random,3,cross_group_covariance,0.2,0.6055222807858169,0.5767129851461428,-0.02880929563967416
random,3,cross_group_covariance,0.5,0.6055222807858169,0.5768687110685196,-0.028653569717297378
random,4,anchor_covariance,0.02,0.6002755150934356,0.6000838524197413,-0.0001916626736943039
random,4,anchor_covariance,0.05,0.6002755150934356,0.6008864398658362,0.0006109247724006561
random,4,anchor_covariance,0.1,0.6002755150934356,0.6017129851461428,0.0014374700527072237
random,4,anchor_covariance,0.2,0.6002755150934356,0.6032942022041208,0.003018687110685203
random,4,anchor_covariance,0.5,0.6002755150934356,0.6072472448490658,0.006971729755630207
random,4,cross_group_covariance,0.02,0.6002755150934356,0.6000239578342117,-0.00025155725922387795
random,4,cross_group_covariance,0.05,0.6002755150934356,0.6004911356013418,0.00021562050790624454
random,4,cross_group_covariance,0.1,0.6002755150934356,0.6014853857211309,0.0012098706276952864
random,4,cross_group_covariance,0.2,0.6002755150934356,0.603378054623862,0.0031025395304263848
random,4,cross_group_covariance,0.5,0.6002755150934356,0.6072232870148538,0.0069477719214182665
temporal,0,anchor_covariance,0.02,0.3780995361664786,0.36242948476871006,-0.01567005139776856
temporal,0,anchor_covariance,0.05,0.3780995361664786,0.36261125736492417,-0.015488278801554456
temporal,0,anchor_covariance,0.1,0.3780995361664786,0.36311896703021185,-0.014980569136266775
temporal,0,anchor_covariance,0.2,0.3780995361664786,0.3634449040992854,-0.014654632067193196
temporal,0,anchor_covariance,0.5,0.3780995361664786,0.3647298483139024,-0.013369687852576195
temporal,0,cross_group_covariance,0.02,0.3780995361664786,0.3624420208098283,-0.01565751535665033
temporal,0,cross_group_covariance,0.05,0.3780995361664786,0.3627115456938699,-0.015387990472608748
temporal,0,cross_group_covariance,0.1,0.3780995361664786,0.36312523505077093,-0.014974301115707689
temporal,0,cross_group_covariance,0.2,0.3780995361664786,0.3637018929422088,-0.01439764322426984
temporal,0,cross_group_covariance,0.5,0.3780995361664786,0.3654130625548452,-0.012686473611633442
temporal,1,anchor_covariance,0.02,0.37113576532531034,0.3650369813212987,-0.006098784004011648
temporal,1,anchor_covariance,0.05,0.37113576532531034,0.3654130625548452,-0.00572270277046516
temporal,1,anchor_covariance,0.1,0.37113576532531034,0.3659646483640467,-0.005171116961263655
temporal,1,anchor_covariance,0.2,0.37113576532531034,0.3675379215243827,-0.003597843800927647
temporal,1,anchor_covariance,0.5,0.37113576532531034,0.37100413689356904,-0.00013162843174130412
temporal,1,cross_group_covariance,0.02,0.37113576532531034,0.3650933935063307,-0.006042371818979653
temporal,1,cross_group_covariance,0.05,0.37113576532531034,0.365463206719318,-0.005672558605992362
temporal,1,cross_group_covariance,0.1,0.37113576532531034,0.3659771844051648,-0.005158580920145539
temporal,1,cross_group_covariance,0.2,0.37113576532531034,0.3678701266140153,-0.003265638711295038
temporal,1,cross_group_covariance,0.5,0.37113576532531034,0.37203836028582166,0.0009025949605113159
temporal,2,anchor_covariance,0.02,0.37873887426350755,0.3672997367431365,-0.011439137520371068
temporal,2,anchor_covariance,0.05,0.37873887426350755,0.36743136517487773,-0.011307509088629819
temporal,2,anchor_covariance,0.1,0.37873887426350755,0.36758179766829635,-0.011157076595211202
temporal,2,anchor_covariance,0.2,0.37873887426350755,0.36775730224395137,-0.010981572019556185
temporal,2,anchor_covariance,0.5,0.37873887426350755,0.36830262003259373,-0.010436254230913822
temporal,2,cross_group_covariance,0.02,0.37873887426350755,0.36729973674313654,-0.011439137520371012
temporal,2,cross_group_covariance,0.05,0.37873887426350755,0.36764447787388743,-0.01109439638962012
temporal,2,cross_group_covariance,0.1,0.37873887426350755,0.36778237432618777,-0.010956499937319786
temporal,2,cross_group_covariance,0.2,0.37873887426350755,0.368434248464335,-0.010304625799172573
temporal,2,cross_group_covariance,0.5,0.37873887426350755,0.3702394383853579,-0.008499435878149664
temporal,3,anchor_covariance,0.02,0.3713300739626426,0.3602231415319042,-0.011106932430738403
temporal,3,anchor_covariance,0.05,0.3713300739626426,0.3603171618402909,-0.011012912122351726
temporal,3,anchor_covariance,0.1,0.3713300739626426,0.3602795537169362,-0.011050520245706408
temporal,3,anchor_covariance,0.2,0.3713300739626426,0.3598972044628307,-0.011432869499811926
temporal,3,anchor_covariance,0.5,0.3713300739626426,0.35918891813965154,-0.012141155822991079
temporal,3,cross_group_covariance,0.02,0.3713300739626426,0.3602858217374953,-0.011044252225147322
temporal,3,cross_group_covariance,0.05,0.3713300739626426,0.36055534662153693,-0.010774727341105683
temporal,3,cross_group_covariance,0.1,0.3713300739626426,0.36063056286824624,-0.010699511094396374
temporal,3,cross_group_covariance,0.2,0.3713300739626426,0.3605678826626551,-0.010762191299987511
temporal,3,cross_group_covariance,0.5,0.3713300739626426,0.36089381973172874,-0.010436254230913877
temporal,4,anchor_covariance,0.02,0.37603108938197316,0.3602607496552589,-0.015770339726714266
temporal,4,anchor_covariance,0.05,0.37603108938197316,0.36036730600476374,-0.015663783377209417
temporal,4,anchor_covariance,0.1,0.37603108938197316,0.3604174501692366,-0.015613639212736563
temporal,4,anchor_covariance,0.2,0.37603108938197316,0.3607935314027829,-0.015237557979190242
temporal,4,anchor_covariance,0.5,0.37603108938197316,0.3610379842045882,-0.014993105177384947
temporal,4,cross_group_covariance,0.02,0.37603108938197316,0.3601980694496678,-0.015833019932305348
temporal,4,cross_group_covariance,0.05,0.37603108938197316,0.36036730600476374,-0.015663783377209417
temporal,4,cross_group_covariance,0.1,0.37603108938197316,0.3603046257991726,-0.015726463582800554
temporal,4,cross_group_covariance,0.2,0.37603108938197316,0.3610129121223518,-0.015018177259621346
temporal,4,cross_group_covariance,0.5,0.37603108938197316,0.36059922276545064,-0.015431866616522516


