wrong_shift,method,n,acc_mean,acc_std,balanced_acc_mean,distortion_mean
1,qproto_full,3,0.6225,0.0313,0.6228,0.0000
1,forced_canonical,3,0.4249,0.0110,0.4228,0.3171
1,no_schema,3,0.4198,0.0265,0.4189,0.3007
1,wrong_schema,3,0.3087,0.0088,0.3093,0.1246
3,qproto_full,3,0.6225,0.0313,0.6228,0.0000
3,forced_canonical,3,0.4249,0.0110,0.4228,0.3171
3,no_schema,3,0.4198,0.0265,0.4189,0.3007
3,wrong_schema,3,0.3074,0.0265,0.3087,0.1557
7,qproto_full,3,0.6225,0.0313,0.6228,0.0000
7,forced_canonical,3,0.4249,0.0110,0.4228,0.3171
7,no_schema,3,0.4198,0.0265,0.4189,0.3007
7,wrong_schema,3,0.2784,0.0039,0.2801,0.1472
15,qproto_full,3,0.6225,0.0313,0.6228,0.0000
15,forced_canonical,3,0.4249,0.0110,0.4228,0.3171
15,no_schema,3,0.4198,0.0265,0.4189,0.3007
15,wrong_schema,3,0.2893,0.0246,0.2907,0.1465
31,qproto_full,3,0.6225,0.0313,0.6228,0.0000
31,forced_canonical,3,0.4249,0.0110,0.4228,0.3171
31,no_schema,3,0.4198,0.0265,0.4189,0.3007
31,wrong_schema,3,0.3053,0.0498,0.3069,0.1441


