noise,method,n,acc_mean,acc_std,balanced_acc_mean,bytes_mean
low,qproto_full,3,0.6624,0.0411,0.6628,1432.0
low,qproto_hop,3,0.6529,0.0428,0.6535,1428.0
low,qproto_proto,3,0.6516,0.0428,0.6522,1044.0
low,no_schema,3,0.4224,0.0257,0.4216,1044.0
low,wrong_schema,3,0.2844,0.0027,0.2862,1428.0
low,fedavg_forced,3,0.3566,0.0776,0.3597,1040.0
low,fedprox_forced,3,0.3556,0.0775,0.3586,1040.0
mid,qproto_full,3,0.6225,0.0313,0.6228,1432.0
mid,qproto_hop,3,0.6121,0.0318,0.6127,1428.0
mid,qproto_proto,3,0.6110,0.0316,0.6116,1044.0
mid,no_schema,3,0.4198,0.0265,0.4189,1044.0
mid,wrong_schema,3,0.2784,0.0039,0.2801,1428.0
mid,fedavg_forced,3,0.3464,0.0826,0.3496,1040.0
mid,fedprox_forced,3,0.3455,0.0829,0.3488,1040.0
high,qproto_full,3,0.5211,0.0289,0.5204,1432.0
high,qproto_hop,3,0.5072,0.0294,0.5072,1428.0
high,qproto_proto,3,0.5069,0.0294,0.5068,1044.0
high,no_schema,3,0.4146,0.0308,0.4137,1044.0
high,wrong_schema,3,0.2672,0.0070,0.2681,1428.0
high,fedavg_forced,3,0.3279,0.0837,0.3318,1040.0
high,fedprox_forced,3,0.3267,0.0832,0.3307,1040.0


