alpha,method,n,acc_mean,acc_std,balanced_acc_mean,bytes_mean
0.05,qproto_full,3,0.4948,0.0108,0.4909,1432.0
0.05,qproto_proto,3,0.5083,0.0028,0.5053,1044.0
0.05,no_schema,3,0.4120,0.0484,0.4109,1044.0
0.05,wrong_schema,3,0.2814,0.0133,0.2795,1428.0
0.05,fedavg_forced,3,0.2700,0.0230,0.2752,1040.0
0.05,fedprox_forced,3,0.2698,0.0231,0.2751,1040.0
0.10,qproto_full,3,0.5695,0.0493,0.5722,1432.0
0.10,qproto_proto,3,0.5600,0.0508,0.5625,1044.0
0.10,no_schema,3,0.4091,0.0205,0.4095,1044.0
0.10,wrong_schema,3,0.2628,0.0247,0.2640,1428.0
0.10,fedavg_forced,3,0.3151,0.0761,0.3230,1040.0
0.10,fedprox_forced,3,0.3142,0.0757,0.3222,1040.0
0.25,qproto_full,3,0.6225,0.0313,0.6228,1432.0
0.25,qproto_proto,3,0.6110,0.0316,0.6116,1044.0
0.25,no_schema,3,0.4198,0.0265,0.4189,1044.0
0.25,wrong_schema,3,0.2784,0.0039,0.2801,1428.0
0.25,fedavg_forced,3,0.3464,0.0826,0.3496,1040.0
0.25,fedprox_forced,3,0.3455,0.0829,0.3488,1040.0
0.50,qproto_full,3,0.6851,0.0335,0.6836,1432.0
0.50,qproto_proto,3,0.6634,0.0269,0.6613,1044.0
0.50,no_schema,3,0.4417,0.0550,0.4398,1044.0
0.50,wrong_schema,3,0.3025,0.0350,0.3029,1428.0
0.50,fedavg_forced,3,0.3764,0.0492,0.3775,1040.0
0.50,fedprox_forced,3,0.3761,0.0500,0.3772,1040.0
1.00,qproto_full,3,0.7129,0.0445,0.7145,1432.0
1.00,qproto_proto,3,0.7023,0.0388,0.7041,1044.0
1.00,no_schema,3,0.4551,0.0200,0.4554,1044.0
1.00,wrong_schema,3,0.3225,0.0252,0.3238,1428.0
1.00,fedavg_forced,3,0.3993,0.0969,0.3984,1040.0
1.00,fedprox_forced,3,0.3986,0.0970,0.3977,1040.0
5.00,qproto_full,3,0.8153,0.0298,0.8158,1432.0
5.00,qproto_proto,3,0.8159,0.0298,0.8161,1044.0
5.00,no_schema,3,0.4985,0.0432,0.4981,1044.0
5.00,wrong_schema,3,0.3819,0.0479,0.3813,1428.0
5.00,fedavg_forced,3,0.4487,0.0693,0.4481,1040.0
5.00,fedprox_forced,3,0.4476,0.0702,0.4470,1040.0


