seed,method,final_acc,final_balanced_acc,bytes_per_client_round,total_upload_bytes,param_scalars
0,vqc_init,0.32,0.29848637499178227,128,6912.0,16
0,vqc_fedavg,0.555,0.5212803234501348,128,6912.0,16
0,vqc_fedprox,0.555,0.5212803234501348,128,6912.0,16
0,vqc_centralized,0.56,0.5329786010124252,128,6912.0,16
1,vqc_init,0.135,0.12461413965973236,128,6912.0,16
1,vqc_fedavg,0.425,0.4220522638455769,128,6912.0,16
1,vqc_fedprox,0.425,0.4220522638455769,128,6912.0,16
1,vqc_centralized,0.435,0.43203923735838623,128,6912.0,16
2,vqc_init,0.255,0.2579973427538834,128,6912.0,16
2,vqc_fedavg,0.535,0.49105248832719767,128,6912.0,16
2,vqc_fedprox,0.535,0.49105248832719767,128,6912.0,16
2,vqc_centralized,0.52,0.4749602956361677,128,6912.0,16
3,vqc_init,0.275,0.26669096257292835,128,6912.0,16
3,vqc_fedavg,0.55,0.5383182194919799,128,6912.0,16
3,vqc_fedprox,0.55,0.5383182194919799,128,6912.0,16
3,vqc_centralized,0.53,0.5198729137210928,128,6912.0,16
4,vqc_init,0.23,0.22946539574583671,128,6912.0,16
4,vqc_fedavg,0.61,0.5995672182870516,128,6912.0,16
4,vqc_fedprox,0.605,0.5937532647986795,128,6912.0,16
4,vqc_centralized,0.555,0.5396627332372177,128,6912.0,16

